"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Bryan County, GA"	"13029"	"65-74 years"	"65-74"	30
	"Bulloch County, GA"	"13031"	"45-54 years"	"45-54"	12
	"Bulloch County, GA"	"13031"	"55-64 years"	"55-64"	36
	"Bulloch County, GA"	"13031"	"65-74 years"	"65-74"	51
	"Burke County, GA"	"13033"	"55-64 years"	"55-64"	15
	"Burke County, GA"	"13033"	"65-74 years"	"65-74"	23
	"Butts County, GA"	"13035"	"55-64 years"	"55-64"	24
	"Butts County, GA"	"13035"	"65-74 years"	"65-74"	26
	"Camden County, GA"	"13039"	"45-54 years"	"45-54"	14
	"Camden County, GA"	"13039"	"55-64 years"	"55-64"	24
	"Camden County, GA"	"13039"	"65-74 years"	"65-74"	39
	"Candler County, GA"	"13043"	"65-74 years"	"65-74"	16
	"Carroll County, GA"	"13045"	"35-44 years"	"35-44"	10
	"Carroll County, GA"	"13045"	"45-54 years"	"45-54"	24
	"Carroll County, GA"	"13045"	"55-64 years"	"55-64"	52
	"Carroll County, GA"	"13045"	"65-74 years"	"65-74"	100
	"Catoosa County, GA"	"13047"	"45-54 years"	"45-54"	14
	"Catoosa County, GA"	"13047"	"55-64 years"	"55-64"	28
	"Catoosa County, GA"	"13047"	"65-74 years"	"65-74"	48
	"Chatham County, GA"	"13051"	"35-44 years"	"35-44"	24
	"Chatham County, GA"	"13051"	"45-54 years"	"45-54"	36
	"Chatham County, GA"	"13051"	"55-64 years"	"55-64"	121
	"Chatham County, GA"	"13051"	"65-74 years"	"65-74"	188
	"Chattooga County, GA"	"13055"	"55-64 years"	"55-64"	18
	"Chattooga County, GA"	"13055"	"65-74 years"	"65-74"	24
	"Cherokee County, GA"	"13057"	"35-44 years"	"35-44"	11
	"Cherokee County, GA"	"13057"	"45-54 years"	"45-54"	32
	"Cherokee County, GA"	"13057"	"55-64 years"	"55-64"	73
	"Cherokee County, GA"	"13057"	"65-74 years"	"65-74"	127
	"Clarke County, GA"	"13059"	"45-54 years"	"45-54"	12
	"Clarke County, GA"	"13059"	"55-64 years"	"55-64"	36
	"Clarke County, GA"	"13059"	"65-74 years"	"65-74"	64
	"Clayton County, GA"	"13063"	"35-44 years"	"35-44"	41
	"Clayton County, GA"	"13063"	"45-54 years"	"45-54"	72
	"Clayton County, GA"	"13063"	"55-64 years"	"55-64"	135
	"Clayton County, GA"	"13063"	"65-74 years"	"65-74"	181
	"Cobb County, GA"	"13067"	"35-44 years"	"35-44"	32
	"Cobb County, GA"	"13067"	"45-54 years"	"45-54"	49
	"Cobb County, GA"	"13067"	"55-64 years"	"55-64"	170
	"Cobb County, GA"	"13067"	"65-74 years"	"65-74"	263
	"Coffee County, GA"	"13069"	"45-54 years"	"45-54"	12
	"Coffee County, GA"	"13069"	"55-64 years"	"55-64"	23
	"Coffee County, GA"	"13069"	"65-74 years"	"65-74"	33
	"Colquitt County, GA"	"13071"	"45-54 years"	"45-54"	12
	"Colquitt County, GA"	"13071"	"55-64 years"	"55-64"	16
	"Colquitt County, GA"	"13071"	"65-74 years"	"65-74"	24
	"Columbia County, GA"	"13073"	"45-54 years"	"45-54"	19
	"Columbia County, GA"	"13073"	"55-64 years"	"55-64"	50
	"Columbia County, GA"	"13073"	"65-74 years"	"65-74"	72
	"Cook County, GA"	"13075"	"55-64 years"	"55-64"	13
	"Cook County, GA"	"13075"	"65-74 years"	"65-74"	23
	"Coweta County, GA"	"13077"	"45-54 years"	"45-54"	34
	"Coweta County, GA"	"13077"	"55-64 years"	"55-64"	46
	"Coweta County, GA"	"13077"	"65-74 years"	"65-74"	101
	"Crawford County, GA"	"13079"	"65-74 years"	"65-74"	16
	"Crisp County, GA"	"13081"	"55-64 years"	"55-64"	14
	"Crisp County, GA"	"13081"	"65-74 years"	"65-74"	17
	"Dade County, GA"	"13083"	"65-74 years"	"65-74"	20
	"Dawson County, GA"	"13085"	"65-74 years"	"65-74"	18
	"Decatur County, GA"	"13087"	"55-64 years"	"55-64"	14
	"Decatur County, GA"	"13087"	"65-74 years"	"65-74"	18
	"DeKalb County, GA"	"13089"	"35-44 years"	"35-44"	63
	"DeKalb County, GA"	"13089"	"45-54 years"	"45-54"	117
	"DeKalb County, GA"	"13089"	"55-64 years"	"55-64"	225
	"DeKalb County, GA"	"13089"	"65-74 years"	"65-74"	311
	"Dodge County, GA"	"13091"	"55-64 years"	"55-64"	15
	"Dodge County, GA"	"13091"	"65-74 years"	"65-74"	17
	"Dougherty County, GA"	"13095"	"45-54 years"	"45-54"	15
	"Dougherty County, GA"	"13095"	"55-64 years"	"55-64"	38
	"Dougherty County, GA"	"13095"	"65-74 years"	"65-74"	68
	"Douglas County, GA"	"13097"	"35-44 years"	"35-44"	11
	"Douglas County, GA"	"13097"	"45-54 years"	"45-54"	25
	"Douglas County, GA"	"13097"	"55-64 years"	"55-64"	52
	"Douglas County, GA"	"13097"	"65-74 years"	"65-74"	82
	"Early County, GA"	"13099"	"65-74 years"	"65-74"	16
	"Effingham County, GA"	"13103"	"45-54 years"	"45-54"	18
	"Effingham County, GA"	"13103"	"55-64 years"	"55-64"	28
	"Effingham County, GA"	"13103"	"65-74 years"	"65-74"	37
	"Elbert County, GA"	"13105"	"55-64 years"	"55-64"	24
	"Elbert County, GA"	"13105"	"65-74 years"	"65-74"	24
	"Emanuel County, GA"	"13107"	"55-64 years"	"55-64"	14
	"Emanuel County, GA"	"13107"	"65-74 years"	"65-74"	25
	"Fannin County, GA"	"13111"	"55-64 years"	"55-64"	15
	"Fannin County, GA"	"13111"	"65-74 years"	"65-74"	29
	"Fayette County, GA"	"13113"	"45-54 years"	"45-54"	12
	"Fayette County, GA"	"13113"	"55-64 years"	"55-64"	24
	"Fayette County, GA"	"13113"	"65-74 years"	"65-74"	47
	"Floyd County, GA"	"13115"	"35-44 years"	"35-44"	12
	"Floyd County, GA"	"13115"	"45-54 years"	"45-54"	31
	"Floyd County, GA"	"13115"	"55-64 years"	"55-64"	70
	"Floyd County, GA"	"13115"	"65-74 years"	"65-74"	107
	"Forsyth County, GA"	"13117"	"45-54 years"	"45-54"	19
	"Forsyth County, GA"	"13117"	"55-64 years"	"55-64"	44
	"Forsyth County, GA"	"13117"	"65-74 years"	"65-74"	61
	"Franklin County, GA"	"13119"	"55-64 years"	"55-64"	26
	"Franklin County, GA"	"13119"	"65-74 years"	"65-74"	30
	"Fulton County, GA"	"13121"	"35-44 years"	"35-44"	64
	"Fulton County, GA"	"13121"	"45-54 years"	"45-54"	162
	"Fulton County, GA"	"13121"	"55-64 years"	"55-64"	355
	"Fulton County, GA"	"13121"	"65-74 years"	"65-74"	497
	"Gilmer County, GA"	"13123"	"55-64 years"	"55-64"	14
	"Gilmer County, GA"	"13123"	"65-74 years"	"65-74"	31
	"Glynn County, GA"	"13127"	"35-44 years"	"35-44"	10
	"Glynn County, GA"	"13127"	"45-54 years"	"45-54"	10
	"Glynn County, GA"	"13127"	"55-64 years"	"55-64"	42
	"Glynn County, GA"	"13127"	"65-74 years"	"65-74"	71
	"Gordon County, GA"	"13129"	"45-54 years"	"45-54"	17
	"Gordon County, GA"	"13129"	"55-64 years"	"55-64"	27
	"Gordon County, GA"	"13129"	"65-74 years"	"65-74"	46
	"Grady County, GA"	"13131"	"45-54 years"	"45-54"	10
	"Grady County, GA"	"13131"	"55-64 years"	"55-64"	16
	"Grady County, GA"	"13131"	"65-74 years"	"65-74"	19
	"Greene County, GA"	"13133"	"55-64 years"	"55-64"	14
	"Greene County, GA"	"13133"	"65-74 years"	"65-74"	16
	"Gwinnett County, GA"	"13135"	"35-44 years"	"35-44"	38
	"Gwinnett County, GA"	"13135"	"45-54 years"	"45-54"	104
	"Gwinnett County, GA"	"13135"	"55-64 years"	"55-64"	176
	"Gwinnett County, GA"	"13135"	"65-74 years"	"65-74"	286
	"Habersham County, GA"	"13137"	"45-54 years"	"45-54"	10
	"Habersham County, GA"	"13137"	"55-64 years"	"55-64"	18
	"Habersham County, GA"	"13137"	"65-74 years"	"65-74"	28
	"Hall County, GA"	"13139"	"45-54 years"	"45-54"	20
	"Hall County, GA"	"13139"	"55-64 years"	"55-64"	77
	"Hall County, GA"	"13139"	"65-74 years"	"65-74"	82
	"Hancock County, GA"	"13141"	"65-74 years"	"65-74"	13
	"Haralson County, GA"	"13143"	"55-64 years"	"55-64"	17
	"Haralson County, GA"	"13143"	"65-74 years"	"65-74"	23
	"Harris County, GA"	"13145"	"45-54 years"	"45-54"	10
	"Harris County, GA"	"13145"	"65-74 years"	"65-74"	32
	"Hart County, GA"	"13147"	"55-64 years"	"55-64"	11
	"Hart County, GA"	"13147"	"65-74 years"	"65-74"	29
	"Henry County, GA"	"13151"	"35-44 years"	"35-44"	17
	"Henry County, GA"	"13151"	"45-54 years"	"45-54"	44
	"Henry County, GA"	"13151"	"55-64 years"	"55-64"	96
	"Henry County, GA"	"13151"	"65-74 years"	"65-74"	144
	"Houston County, GA"	"13153"	"35-44 years"	"35-44"	13
	"Houston County, GA"	"13153"	"45-54 years"	"45-54"	28
	"Houston County, GA"	"13153"	"55-64 years"	"55-64"	81
	"Houston County, GA"	"13153"	"65-74 years"	"65-74"	106
	"Jackson County, GA"	"13157"	"45-54 years"	"45-54"	14
	"Jackson County, GA"	"13157"	"55-64 years"	"55-64"	25
	"Jackson County, GA"	"13157"	"65-74 years"	"65-74"	49
	"Jasper County, GA"	"13159"	"65-74 years"	"65-74"	20
	"Jeff Davis County, GA"	"13161"	"55-64 years"	"55-64"	11
	"Jeff Davis County, GA"	"13161"	"65-74 years"	"65-74"	11
	"Jefferson County, GA"	"13163"	"65-74 years"	"65-74"	23
	"Jenkins County, GA"	"13165"	"65-74 years"	"65-74"	10
	"Johnson County, GA"	"13167"	"65-74 years"	"65-74"	11
	"Jones County, GA"	"13169"	"55-64 years"	"55-64"	18
	"Jones County, GA"	"13169"	"65-74 years"	"65-74"	27
	"Lamar County, GA"	"13171"	"55-64 years"	"55-64"	19
	"Lamar County, GA"	"13171"	"65-74 years"	"65-74"	17
	"Lanier County, GA"	"13173"	"65-74 years"	"65-74"	11
	"Laurens County, GA"	"13175"	"55-64 years"	"55-64"	23
	"Laurens County, GA"	"13175"	"65-74 years"	"65-74"	38
	"Lee County, GA"	"13177"	"55-64 years"	"55-64"	11
	"Lee County, GA"	"13177"	"65-74 years"	"65-74"	19
	"Liberty County, GA"	"13179"	"45-54 years"	"45-54"	10
	"Liberty County, GA"	"13179"	"55-64 years"	"55-64"	29
	"Liberty County, GA"	"13179"	"65-74 years"	"65-74"	38
	"Long County, GA"	"13183"	"65-74 years"	"65-74"	13
	"Lowndes County, GA"	"13185"	"35-44 years"	"35-44"	16
	"Lowndes County, GA"	"13185"	"45-54 years"	"45-54"	25
	"Lowndes County, GA"	"13185"	"55-64 years"	"55-64"	54
	"Lowndes County, GA"	"13185"	"65-74 years"	"65-74"	65
	"Lumpkin County, GA"	"13187"	"55-64 years"	"55-64"	15
	"Lumpkin County, GA"	"13187"	"65-74 years"	"65-74"	25
	"McDuffie County, GA"	"13189"	"55-64 years"	"55-64"	14
	"McDuffie County, GA"	"13189"	"65-74 years"	"65-74"	24
	"McIntosh County, GA"	"13191"	"55-64 years"	"55-64"	10
	"Macon County, GA"	"13193"	"55-64 years"	"55-64"	12
	"Macon County, GA"	"13193"	"65-74 years"	"65-74"	17
	"Madison County, GA"	"13195"	"55-64 years"	"55-64"	14
	"Madison County, GA"	"13195"	"65-74 years"	"65-74"	13
	"Meriwether County, GA"	"13199"	"45-54 years"	"45-54"	10
	"Meriwether County, GA"	"13199"	"55-64 years"	"55-64"	21
	"Meriwether County, GA"	"13199"	"65-74 years"	"65-74"	29
	"Mitchell County, GA"	"13205"	"55-64 years"	"55-64"	10
	"Mitchell County, GA"	"13205"	"65-74 years"	"65-74"	20
	"Monroe County, GA"	"13207"	"55-64 years"	"55-64"	16
	"Monroe County, GA"	"13207"	"65-74 years"	"65-74"	32
	"Montgomery County, GA"	"13209"	"65-74 years"	"65-74"	10
	"Morgan County, GA"	"13211"	"65-74 years"	"65-74"	20
	"Murray County, GA"	"13213"	"55-64 years"	"55-64"	20
	"Murray County, GA"	"13213"	"65-74 years"	"65-74"	47
	"Muscogee County, GA"	"13215"	"35-44 years"	"35-44"	20
	"Muscogee County, GA"	"13215"	"45-54 years"	"45-54"	56
	"Muscogee County, GA"	"13215"	"55-64 years"	"55-64"	113
	"Muscogee County, GA"	"13215"	"65-74 years"	"65-74"	157
	"Newton County, GA"	"13217"	"35-44 years"	"35-44"	10
	"Newton County, GA"	"13217"	"45-54 years"	"45-54"	25
	"Newton County, GA"	"13217"	"55-64 years"	"55-64"	41
	"Newton County, GA"	"13217"	"65-74 years"	"65-74"	66
	"Oconee County, GA"	"13219"	"55-64 years"	"55-64"	10
	"Oconee County, GA"	"13219"	"65-74 years"	"65-74"	11
	"Oglethorpe County, GA"	"13221"	"65-74 years"	"65-74"	14
	"Paulding County, GA"	"13223"	"45-54 years"	"45-54"	24
	"Paulding County, GA"	"13223"	"55-64 years"	"55-64"	49
	"Paulding County, GA"	"13223"	"65-74 years"	"65-74"	79
	"Peach County, GA"	"13225"	"55-64 years"	"55-64"	24
	"Peach County, GA"	"13225"	"65-74 years"	"65-74"	24
	"Pickens County, GA"	"13227"	"45-54 years"	"45-54"	12
	"Pickens County, GA"	"13227"	"55-64 years"	"55-64"	26
	"Pickens County, GA"	"13227"	"65-74 years"	"65-74"	27
	"Pierce County, GA"	"13229"	"55-64 years"	"55-64"	11
	"Pierce County, GA"	"13229"	"65-74 years"	"65-74"	18
	"Pike County, GA"	"13231"	"55-64 years"	"55-64"	12
	"Pike County, GA"	"13231"	"65-74 years"	"65-74"	19
	"Polk County, GA"	"13233"	"45-54 years"	"45-54"	17
	"Polk County, GA"	"13233"	"55-64 years"	"55-64"	23
	"Polk County, GA"	"13233"	"65-74 years"	"65-74"	45
	"Pulaski County, GA"	"13235"	"55-64 years"	"55-64"	11
	"Pulaski County, GA"	"13235"	"65-74 years"	"65-74"	17
	"Putnam County, GA"	"13237"	"55-64 years"	"55-64"	17
	"Putnam County, GA"	"13237"	"65-74 years"	"65-74"	22
	"Rabun County, GA"	"13241"	"65-74 years"	"65-74"	13
	"Richmond County, GA"	"13245"	"35-44 years"	"35-44"	23
	"Richmond County, GA"	"13245"	"45-54 years"	"45-54"	53
	"Richmond County, GA"	"13245"	"55-64 years"	"55-64"	109
	"Richmond County, GA"	"13245"	"65-74 years"	"65-74"	191
	"Rockdale County, GA"	"13247"	"45-54 years"	"45-54"	17
	"Rockdale County, GA"	"13247"	"55-64 years"	"55-64"	42
	"Rockdale County, GA"	"13247"	"65-74 years"	"65-74"	41
	"Screven County, GA"	"13251"	"65-74 years"	"65-74"	18
	"Spalding County, GA"	"13255"	"45-54 years"	"45-54"	25
	"Spalding County, GA"	"13255"	"55-64 years"	"55-64"	46
	"Spalding County, GA"	"13255"	"65-74 years"	"65-74"	73
	"Stephens County, GA"	"13257"	"55-64 years"	"55-64"	12
	"Stephens County, GA"	"13257"	"65-74 years"	"65-74"	25
	"Sumter County, GA"	"13261"	"55-64 years"	"55-64"	10
	"Sumter County, GA"	"13261"	"65-74 years"	"65-74"	26
	"Tattnall County, GA"	"13267"	"55-64 years"	"55-64"	15
	"Tattnall County, GA"	"13267"	"65-74 years"	"65-74"	21
	"Telfair County, GA"	"13271"	"65-74 years"	"65-74"	19
	"Terrell County, GA"	"13273"	"65-74 years"	"65-74"	10
	"Thomas County, GA"	"13275"	"45-54 years"	"45-54"	12
	"Thomas County, GA"	"13275"	"55-64 years"	"55-64"	17
	"Thomas County, GA"	"13275"	"65-74 years"	"65-74"	46
	"Tift County, GA"	"13277"	"45-54 years"	"45-54"	11
	"Tift County, GA"	"13277"	"55-64 years"	"55-64"	28
	"Tift County, GA"	"13277"	"65-74 years"	"65-74"	35
	"Toombs County, GA"	"13279"	"55-64 years"	"55-64"	18
	"Toombs County, GA"	"13279"	"65-74 years"	"65-74"	27
	"Towns County, GA"	"13281"	"55-64 years"	"55-64"	10
	"Towns County, GA"	"13281"	"65-74 years"	"65-74"	15
	"Troup County, GA"	"13285"	"45-54 years"	"45-54"	25
	"Troup County, GA"	"13285"	"55-64 years"	"55-64"	45
	"Troup County, GA"	"13285"	"65-74 years"	"65-74"	78
	"Turner County, GA"	"13287"	"65-74 years"	"65-74"	12
	"Twiggs County, GA"	"13289"	"65-74 years"	"65-74"	10
	"Union County, GA"	"13291"	"65-74 years"	"65-74"	34
	"Upson County, GA"	"13293"	"45-54 years"	"45-54"	11
	"Upson County, GA"	"13293"	"55-64 years"	"55-64"	19
	"Upson County, GA"	"13293"	"65-74 years"	"65-74"	28
	"Walker County, GA"	"13295"	"45-54 years"	"45-54"	15
	"Walker County, GA"	"13295"	"55-64 years"	"55-64"	46
	"Walker County, GA"	"13295"	"65-74 years"	"65-74"	50
	"Walton County, GA"	"13297"	"45-54 years"	"45-54"	19
	"Walton County, GA"	"13297"	"55-64 years"	"55-64"	38
	"Walton County, GA"	"13297"	"65-74 years"	"65-74"	59
	"Ware County, GA"	"13299"	"45-54 years"	"45-54"	11
	"Ware County, GA"	"13299"	"55-64 years"	"55-64"	23
	"Ware County, GA"	"13299"	"65-74 years"	"65-74"	34
	"Washington County, GA"	"13303"	"55-64 years"	"55-64"	12
	"Washington County, GA"	"13303"	"65-74 years"	"65-74"	16
	"Wayne County, GA"	"13305"	"45-54 years"	"45-54"	13
	"Wayne County, GA"	"13305"	"55-64 years"	"55-64"	27
	"Wayne County, GA"	"13305"	"65-74 years"	"65-74"	24
	"White County, GA"	"13311"	"55-64 years"	"55-64"	13
	"White County, GA"	"13311"	"65-74 years"	"65-74"	17
	"Whitfield County, GA"	"13313"	"45-54 years"	"45-54"	19
	"Whitfield County, GA"	"13313"	"55-64 years"	"55-64"	49
	"Whitfield County, GA"	"13313"	"65-74 years"	"65-74"	75
	"Wilcox County, GA"	"13315"	"65-74 years"	"65-74"	18
	"Wilkinson County, GA"	"13319"	"65-74 years"	"65-74"	10
	"Worth County, GA"	"13321"	"55-64 years"	"55-64"	10
	"Worth County, GA"	"13321"	"65-74 years"	"65-74"	18
	"Hawaii County, HI"	"15001"	"35-44 years"	"35-44"	16
	"Hawaii County, HI"	"15001"	"45-54 years"	"45-54"	36
	"Hawaii County, HI"	"15001"	"55-64 years"	"55-64"	80
	"Hawaii County, HI"	"15001"	"65-74 years"	"65-74"	165
	"Honolulu County, HI"	"15003"	"35-44 years"	"35-44"	42
	"Honolulu County, HI"	"15003"	"45-54 years"	"45-54"	98
	"Honolulu County, HI"	"15003"	"55-64 years"	"55-64"	299
	"Honolulu County, HI"	"15003"	"65-74 years"	"65-74"	449
	"Kauai County, HI"	"15007"	"45-54 years"	"45-54"	13
	"Kauai County, HI"	"15007"	"55-64 years"	"55-64"	16
	"Kauai County, HI"	"15007"	"65-74 years"	"65-74"	37
	"Maui County, HI"	"15009"	"45-54 years"	"45-54"	23
	"Maui County, HI"	"15009"	"55-64 years"	"55-64"	57
	"Maui County, HI"	"15009"	"65-74 years"	"65-74"	104
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	12
	"Ada County, ID"	"16001"	"45-54 years"	"45-54"	39
	"Ada County, ID"	"16001"	"55-64 years"	"55-64"	88
	"Ada County, ID"	"16001"	"65-74 years"	"65-74"	169
	"Bannock County, ID"	"16005"	"45-54 years"	"45-54"	12
	"Bannock County, ID"	"16005"	"55-64 years"	"55-64"	20
	"Bannock County, ID"	"16005"	"65-74 years"	"65-74"	36
	"Bingham County, ID"	"16011"	"55-64 years"	"55-64"	12
	"Bingham County, ID"	"16011"	"65-74 years"	"65-74"	22
	"Bonner County, ID"	"16017"	"55-64 years"	"55-64"	17
	"Bonner County, ID"	"16017"	"65-74 years"	"65-74"	32
	"Bonneville County, ID"	"16019"	"45-54 years"	"45-54"	14
	"Bonneville County, ID"	"16019"	"55-64 years"	"55-64"	28
	"Bonneville County, ID"	"16019"	"65-74 years"	"65-74"	50
	"Canyon County, ID"	"16027"	"35-44 years"	"35-44"	12
	"Canyon County, ID"	"16027"	"45-54 years"	"45-54"	25
	"Canyon County, ID"	"16027"	"55-64 years"	"55-64"	65
	"Canyon County, ID"	"16027"	"65-74 years"	"65-74"	113
	"Cassia County, ID"	"16031"	"65-74 years"	"65-74"	14
	"Elmore County, ID"	"16039"	"55-64 years"	"55-64"	12
	"Elmore County, ID"	"16039"	"65-74 years"	"65-74"	12
	"Gooding County, ID"	"16047"	"65-74 years"	"65-74"	14
	"Idaho County, ID"	"16049"	"65-74 years"	"65-74"	14
	"Jefferson County, ID"	"16051"	"55-64 years"	"55-64"	10
	"Jefferson County, ID"	"16051"	"65-74 years"	"65-74"	15
	"Jerome County, ID"	"16053"	"65-74 years"	"65-74"	14
	"Kootenai County, ID"	"16055"	"45-54 years"	"45-54"	17
	"Kootenai County, ID"	"16055"	"55-64 years"	"55-64"	32
	"Kootenai County, ID"	"16055"	"65-74 years"	"65-74"	93
	"Latah County, ID"	"16057"	"65-74 years"	"65-74"	18
	"Lemhi County, ID"	"16059"	"65-74 years"	"65-74"	12
	"Madison County, ID"	"16065"	"65-74 years"	"65-74"	10
	"Nez Perce County, ID"	"16069"	"65-74 years"	"65-74"	27
	"Payette County, ID"	"16075"	"65-74 years"	"65-74"	20
	"Shoshone County, ID"	"16079"	"65-74 years"	"65-74"	14
	"Twin Falls County, ID"	"16083"	"45-54 years"	"45-54"	10
	"Twin Falls County, ID"	"16083"	"55-64 years"	"55-64"	30
	"Twin Falls County, ID"	"16083"	"65-74 years"	"65-74"	38
	"Washington County, ID"	"16087"	"65-74 years"	"65-74"	11
	"Adams County, IL"	"17001"	"45-54 years"	"45-54"	10
	"Adams County, IL"	"17001"	"55-64 years"	"55-64"	26
	"Adams County, IL"	"17001"	"65-74 years"	"65-74"	45
	"Alexander County, IL"	"17003"	"65-74 years"	"65-74"	11
	"Boone County, IL"	"17007"	"55-64 years"	"55-64"	18
	"Boone County, IL"	"17007"	"65-74 years"	"65-74"	23
	"Bureau County, IL"	"17011"	"65-74 years"	"65-74"	28
	"Carroll County, IL"	"17015"	"65-74 years"	"65-74"	15
	"Champaign County, IL"	"17019"	"45-54 years"	"45-54"	25
	"Champaign County, IL"	"17019"	"55-64 years"	"55-64"	43
	"Champaign County, IL"	"17019"	"65-74 years"	"65-74"	81
	"Christian County, IL"	"17021"	"55-64 years"	"55-64"	10
	"Christian County, IL"	"17021"	"65-74 years"	"65-74"	22
	"Clark County, IL"	"17023"	"65-74 years"	"65-74"	14
	"Clinton County, IL"	"17027"	"55-64 years"	"55-64"	12
	"Clinton County, IL"	"17027"	"65-74 years"	"65-74"	24
	"Coles County, IL"	"17029"	"55-64 years"	"55-64"	16
	"Coles County, IL"	"17029"	"65-74 years"	"65-74"	33
	"Cook County, IL"	"17031"	"35-44 years"	"35-44"	240
	"Cook County, IL"	"17031"	"45-54 years"	"45-54"	678
	"Cook County, IL"	"17031"	"55-64 years"	"55-64"	1842
	"Cook County, IL"	"17031"	"65-74 years"	"65-74"	3029
	"Crawford County, IL"	"17033"	"65-74 years"	"65-74"	16
	"DeKalb County, IL"	"17037"	"45-54 years"	"45-54"	13
	"DeKalb County, IL"	"17037"	"55-64 years"	"55-64"	20
	"DeKalb County, IL"	"17037"	"65-74 years"	"65-74"	39
	"De Witt County, IL"	"17039"	"65-74 years"	"65-74"	16
	"Douglas County, IL"	"17041"	"65-74 years"	"65-74"	12
	"DuPage County, IL"	"17043"	"35-44 years"	"35-44"	30
	"DuPage County, IL"	"17043"	"45-54 years"	"45-54"	54
	"DuPage County, IL"	"17043"	"55-64 years"	"55-64"	168
	"DuPage County, IL"	"17043"	"65-74 years"	"65-74"	332
	"Edgar County, IL"	"17045"	"55-64 years"	"55-64"	10
	"Edgar County, IL"	"17045"	"65-74 years"	"65-74"	16
	"Effingham County, IL"	"17049"	"65-74 years"	"65-74"	18
	"Fayette County, IL"	"17051"	"65-74 years"	"65-74"	11
	"Franklin County, IL"	"17055"	"55-64 years"	"55-64"	16
	"Franklin County, IL"	"17055"	"65-74 years"	"65-74"	35
	"Fulton County, IL"	"17057"	"65-74 years"	"65-74"	24
	"Greene County, IL"	"17061"	"55-64 years"	"55-64"	12
	"Greene County, IL"	"17061"	"65-74 years"	"65-74"	18
	"Grundy County, IL"	"17063"	"55-64 years"	"55-64"	21
	"Grundy County, IL"	"17063"	"65-74 years"	"65-74"	25
	"Hancock County, IL"	"17067"	"65-74 years"	"65-74"	20
	"Henry County, IL"	"17073"	"55-64 years"	"55-64"	24
	"Henry County, IL"	"17073"	"65-74 years"	"65-74"	34
	"Iroquois County, IL"	"17075"	"55-64 years"	"55-64"	13
	"Iroquois County, IL"	"17075"	"65-74 years"	"65-74"	30
	"Jackson County, IL"	"17077"	"55-64 years"	"55-64"	27
	"Jackson County, IL"	"17077"	"65-74 years"	"65-74"	40
	"Jefferson County, IL"	"17081"	"55-64 years"	"55-64"	16
	"Jefferson County, IL"	"17081"	"65-74 years"	"65-74"	33
	"Jersey County, IL"	"17083"	"55-64 years"	"55-64"	16
	"Jersey County, IL"	"17083"	"65-74 years"	"65-74"	13
	"Jo Daviess County, IL"	"17085"	"65-74 years"	"65-74"	22
	"Kane County, IL"	"17089"	"35-44 years"	"35-44"	20
	"Kane County, IL"	"17089"	"45-54 years"	"45-54"	30
	"Kane County, IL"	"17089"	"55-64 years"	"55-64"	118
	"Kane County, IL"	"17089"	"65-74 years"	"65-74"	206
	"Kankakee County, IL"	"17091"	"35-44 years"	"35-44"	11
	"Kankakee County, IL"	"17091"	"45-54 years"	"45-54"	27
	"Kankakee County, IL"	"17091"	"55-64 years"	"55-64"	47
	"Kankakee County, IL"	"17091"	"65-74 years"	"65-74"	80
	"Kendall County, IL"	"17093"	"55-64 years"	"55-64"	10
	"Kendall County, IL"	"17093"	"65-74 years"	"65-74"	36
	"Knox County, IL"	"17095"	"55-64 years"	"55-64"	24
	"Knox County, IL"	"17095"	"65-74 years"	"65-74"	40
	"Lake County, IL"	"17097"	"35-44 years"	"35-44"	21
	"Lake County, IL"	"17097"	"45-54 years"	"45-54"	45
	"Lake County, IL"	"17097"	"55-64 years"	"55-64"	151
	"Lake County, IL"	"17097"	"65-74 years"	"65-74"	231
	"LaSalle County, IL"	"17099"	"45-54 years"	"45-54"	16
	"LaSalle County, IL"	"17099"	"55-64 years"	"55-64"	39
	"LaSalle County, IL"	"17099"	"65-74 years"	"65-74"	88
	"Lee County, IL"	"17103"	"55-64 years"	"55-64"	16
	"Lee County, IL"	"17103"	"65-74 years"	"65-74"	34
	"Livingston County, IL"	"17105"	"55-64 years"	"55-64"	17
	"Livingston County, IL"	"17105"	"65-74 years"	"65-74"	30
	"Logan County, IL"	"17107"	"55-64 years"	"55-64"	10
	"Logan County, IL"	"17107"	"65-74 years"	"65-74"	15
	"McDonough County, IL"	"17109"	"65-74 years"	"65-74"	26
	"McHenry County, IL"	"17111"	"45-54 years"	"45-54"	22
	"McHenry County, IL"	"17111"	"55-64 years"	"55-64"	77
	"McHenry County, IL"	"17111"	"65-74 years"	"65-74"	140
	"McLean County, IL"	"17113"	"45-54 years"	"45-54"	22
	"McLean County, IL"	"17113"	"55-64 years"	"55-64"	37
	"McLean County, IL"	"17113"	"65-74 years"	"65-74"	72
	"Macon County, IL"	"17115"	"45-54 years"	"45-54"	24
	"Macon County, IL"	"17115"	"55-64 years"	"55-64"	54
	"Macon County, IL"	"17115"	"65-74 years"	"65-74"	84
	"Macoupin County, IL"	"17117"	"45-54 years"	"45-54"	10
	"Macoupin County, IL"	"17117"	"55-64 years"	"55-64"	26
